DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Sun, 23 Dec",vs Los Angeles,L118-115 OT,18-10,Jack  29,Lee  11,Jack  11,2012/2013,qualified
"Thu, 27 Dec",@ Utah,W94-83,19-10,Curry  23,Biedrins  12,Curry  7,2012/2013,qualified
"Sat, 29 Dec",vs Philadelphia,W96-89,20-10,Lee  25,Lee  12,Jack  6,2012/2013,qualified
"Sun, 30 Dec",vs Boston,W101-83,21-10,Curry  22,Barnes  8,Curry  9,2012/2013,qualified
"Thu, 3 Jan",vs LA,W115-94,22-10,Curry  31,Lee  13,Curry  8,2012/2013,qualified
"Sun, 6 Jan",@ LA,L115-89,22-11,Thompson  14,Green  8,Curry  5,2012/2013,qualified
"Thu, 10 Jan",vs Memphis,L94-87,22-12,Curry  24,Lee  10,Thompson  7,2012/2013,qualified
"Sat, 12 Jan",vs Portland,W103-97,23-12,Lee  24,Lee  10,Curry  12,2012/2013,qualified
"Mon, 14 Jan",@ Denver,L116-105,23-13,Curry  29,Lee  13,Jack  8,2012/2013,qualified
"Thu, 17 Jan",vs Miami,L92-75,23-14,Jack  16,Lee  11,Bazemore  5,2012/2013,qualified
"Sat, 19 Jan",@ San Antonio,L95-88,23-15,Lee  22,Barnes  8,Jack  10,2012/2013,qualified
"Sun, 20 Jan",@New Orleans,W116-112,24-15,Thompson  29,Landry  11,Jack  12,2012/2013,qualified
"Mon, 21 Jan",vs LA,W106-99,25-15,Curry  28,Lee  11,Jack  10,2012/2013,qualified
"Thu, 24 Jan",vs Oklahoma City,W104-99,26-15,Curry  31,Lee  12,Jack  8,2012/2013,qualified
"Sat, 26 Jan",@ Chicago,L103-87,26-16,Lee  23,Thompson  8,Jack  5,2012/2013,qualified
"Sun, 27 Jan",@ Milwaukee,L109-102,26-17,Curry  26,Lee  15,Jack  10,2012/2013,qualified
"Tue, 29 Jan",@ Toronto,W114-102,27-17,Lee  21,Lee  12,Lee  7,2012/2013,qualified
"Wed, 30 Jan",@ Cleveland,W108-95,28-17,,,,2012/2013,qualified
"Fri, 1 Feb",vs Dallas,W100-97,29-17,Thompson  27,Lee  20,Lee  9,2012/2013,qualified
"Sun, 3 Feb",vs Phoenix,W113-93,30-17,Curry  29,Lee  12,Curry  8,2012/2013,qualified
"Wed, 6 Feb",@ Houston,L140-109,30-18,Jack  20,Bogut  9,Curry  9,2012/2013,qualified
"Thu, 7 Feb",@ Oklahoma City,L119-98,30-19,Thompson  19,Lee  11,Curry  11,2012/2013,qualified
"Sat, 9 Feb",@ Memphis,L99-93,30-20,Curry  32,Barnes  7,Curry  8,2012/2013,qualified
"Sun, 10 Feb",@ Dallas,L116-91,30-21,Curry  18,Green  9,Curry  4,2012/2013,qualified
"Wed, 13 Feb",vs Houston,L116-107,30-22,Curry  27,Lee  12,Curry  6,2012/2013,qualified
"Wed, 20 Feb",@ Utah,L115-101,30-23,Curry  29,Lee  9,Jack  9,2012/2013,qualified
"Thu, 21 Feb",vs Phoenix,W108-98,31-23,Thompson  28,Lee  11,Curry  11,2012/2013,qualified
"Sat, 23 Feb",vs San Antonio,W107-101 OT,32-23,Jack  30,Lee  22,Jack  10,2012/2013,qualified
"Sun, 24 Feb",@ Minnesota,W100-99,33-23,Jack  23,Lee  13,Jack  8,2012/2013,qualified
"Wed, 27 Feb",@ Indiana,L108-97,33-24,Curry  38,Lee  12,Curry  4,2012/2013,qualified
"Thu, 28 Feb",@ New York,L109-105,33-25,Curry  54,Curry  6,Curry  7,2012/2013,qualified
"Sat, 2 Mar",@ Boston,L94-86,33-26,Curry  25,Lee  19,Curry  6,2012/2013,qualified
"Sun, 3 Mar",@ Philadelphia,L104-97,33-27,Curry  30,Lee  16,Curry  9,2012/2013,qualified
"Tue, 5 Mar",vs Toronto,W125-118,34-27,Lee  29,Lee  11,Curry  12,2012/2013,qualified
"Thu, 7 Mar",vs Sacramento,W87-83,35-27,Thompson  20,Lee  10,Curry  8,2012/2013,qualified
"Sat, 9 Mar",vs Houston,L94-88,35-28,Curry  24,Bogut  11,Curry  8,2012/2013,qualified
"Sun, 10 Mar",vs Milwaukee,L103-93,35-29,Landry  18,Landry  10,Curry  10,2012/2013,qualified
"Tue, 12 Mar",vs New York,W92-63,36-29,Curry  26,Bogut  11,Lee  8,2012/2013,qualified
"Thu, 14 Mar",vs Detroit,W105-97,37-29,Curry  31,Lee  15,Curry  8,2012/2013,qualified
"Sat, 16 Mar",vs Chicago,L113-95,37-30,Jack  20,Lee  8,Curry  4,2012/2013,qualified
"Sun, 17 Mar",@ Houston,W108-78,38-30,Curry  29,Bogut  12,Curry  11,2012/2013,qualified
"Tue, 19 Mar",@New Orleans,W93-72,39-30,Curry  30,Lee  11,Jack  5,2012/2013,qualified
"Thu, 21 Mar",@ San Antonio,L104-93,39-31,Curry  24,Lee  12,Jack  7,2012/2013,qualified
"Sun, 24 Mar",vs Washington,W101-92,40-31,Curry  35,Lee  15,Curry  8,2012/2013,qualified
"Tue, 26 Mar",vs Los Angeles,W109-103,41-31,Curry  25,Lee  12,Curry  10,2012/2013,qualified
"Thu, 28 Mar",vs Sacramento,L105-98,41-32,Lee  20,Lee  10,Curry  12,2012/2013,qualified
"Sun, 31 Mar",vs Portland,W125-98,42-32,Curry  39,Landry  10,Curry  6,2012/2013,qualified
"Thu, 4 Apr",vsNew Orleans,W98-88,43-32,Lee  23,Lee  16,Curry  9,2012/2013,qualified
"Sat, 6 Apr",@ Phoenix,W111-107,44-32,Thompson  25,Lee  14,Curry  15,2012/2013,qualified
"Mon, 8 Apr",vs Utah,L97-90,44-33,Curry  22,Lee  13,Jack  6,2012/2013,qualified
"Wed, 10 Apr",vs Minnesota,W105-89,45-33,Thompson  30,Bogut  14,Curry  10,2012/2013,qualified
"Fri, 12 Apr",vs Oklahoma City,L116-97,45-34,Curry  22,Lee  11,Curry  7,2012/2013,qualified
"Sat, 13 Apr",@ Los Angeles,L118-116,45-35,Curry  47,Lee  8,Curry  9,2012/2013,qualified
"Tue, 16 Apr",vs San Antonio,W116-106,46-35,Curry  35,Ezeli  13,Jack  12,2012/2013,qualified
"Thu, 31 Oct",vs Los Angeles,W125-94,1-0,Thompson  38,Lee  8,Curry  6,2013/2014,qualified
"Fri, 1 Nov",@ LA,L126-115,1-1,Curry  38,Green  8,Iguodala  11,2013/2014,qualified
"Sun, 3 Nov",vs Sacramento,W98-87,2-1,Thompson  27,Lee  12,Curry  12,2013/2014,qualified
"Tue, 5 Nov",@ Philadelphia,W110-90,3-1,Iguodala  32,Curry  10,Curry  12,2013/2014,qualified
"Thu, 7 Nov",@ Minnesota,W106-93,4-1,Thompson  30,Lee  15,Curry  7,2013/2014,qualified
"Sat, 9 Nov",@ San Antonio,L76-74,4-2,Douglas  21,Bogut  13,Bogut  5,2013/2014,qualified
"Sun, 10 Nov",@ Memphis,L108-90,4-3,Curry  22,Lee  9,Curry  5,2013/2014,qualified
