date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Thu, 8 Nov",Cleveland,W106-96,3-2,Lee  14,Lee  6,2012/2013,Lee,22
"Sat, 10 Nov",Los Angeles,L101-77,3-3,Lee  12,Curry  5,2012/2013,Curry,18
"Sun, 11 Nov",Denver,L107-101 2OT,3-4,Landry  9,Lee  5,2012/2013,Thompson,23
"Thu, 15 Nov",Atlanta,W92-88,4-4,Barnes  13,Curry  7,2012/2013,Barnes,19
"Sat, 17 Nov",Minnesota,W106-98,5-4,Lee  13,Curry  6,2012/2013,Lee,18
"Mon, 19 Nov",Oklahoma City,L119-109,5-5,Lee  10,Curry  6,2012/2013,Curry,22
"Tue, 20 Nov",Dallas,W105-101 OT,6-5,Lee  19,Curry  9,2012/2013,Curry,31
"Thu, 22 Nov",Brooklyn,W102-93,7-5,Lee  13,Jack  9,2012/2013,Curry,25
"Sat, 24 Nov",Denver,L102-91,7-6,Lee  10,Landry  4,2012/2013,Lee,21
"Sun, 25 Nov",Minnesota,W96-85,8-6,Barnes  11,Curry  6,2012/2013,Thompson,24
"Fri, 30 Nov",Denver,W106-105,9-6,Lee  9,Curry  10,2012/2013,Lee,31
"Sun, 2 Dec",Indiana,W103-92,10-6,Lee  12,Curry  11,2012/2013,Thompson,22
"Tue, 4 Dec",Orlando,L102-94,10-7,Landry  10,Curry  11,2012/2013,Curry,25
"Thu, 6 Dec",Detroit,W104-97,11-7,Lee  11,Curry  10,2012/2013,Thompson,27
"Sat, 8 Dec",Brooklyn,W109-102,12-7,Lee  15,Jack  8,2012/2013,Lee,30
"Sun, 9 Dec",Washington,W101-97,13-7,Lee  17,Thompson  5,2012/2013,Lee,24
"Tue, 11 Dec",Charlotte,W104-96,14-7,Lee  11,Curry  7,2012/2013,Curry,27
"Thu, 13 Dec",Miami,W97-95,15-7,Lee  14,Curry  7,2012/2013,Thompson,27
"Sat, 15 Dec",Orlando,L99-85,15-8,Lee  15,Jack  6,2012/2013,Curry,25
"Sun, 16 Dec",Atlanta,W115-93,16-8,Lee  11,Curry  11,2012/2013,Lee,20
"Wed, 19 Dec",New Orleans,W103-96,17-8,Lee  9,Jack  10,2012/2013,Lee,26
"Thu, 20 Dec",Sacramento,L131-127,17-9,Lee  8,Lee  5,2012/2013,Curry,32
"Sat, 22 Dec",Charlotte,W115-100,18-9,Lee  11,Lee  11,2012/2013,Curry,27
"Sun, 23 Dec",Los Angeles,L118-115 OT,18-10,Lee  11,Jack  11,2012/2013,Jack,29
"Thu, 27 Dec",Utah,W94-83,19-10,Biedrins  12,Curry  7,2012/2013,Curry,23
"Sat, 29 Dec",Philadelphia,W96-89,20-10,Lee  12,Jack  6,2012/2013,Lee,25
"Sun, 30 Dec",Boston,W101-83,21-10,Barnes  8,Curry  9,2012/2013,Curry,22
"Thu, 3 Jan",Los Angeles,W115-94,22-10,Lee  13,Curry  8,2012/2013,Curry,31
"Sun, 6 Jan",Los Angeles,L115-89,22-11,Green  8,Curry  5,2012/2013,Thompson,14
"Thu, 10 Jan",Memphis,L94-87,22-12,Lee  10,Thompson  7,2012/2013,Curry,24
"Sat, 12 Jan",Portland,W103-97,23-12,Lee  10,Curry  12,2012/2013,Lee,24
"Mon, 14 Jan",Denver,L116-105,23-13,Lee  13,Jack  8,2012/2013,Curry,29
"Thu, 17 Jan",Miami,L92-75,23-14,Lee  11,Bazemore  5,2012/2013,Jack,16
"Sat, 19 Jan",San Antonio,L95-88,23-15,Barnes  8,Jack  10,2012/2013,Lee,22
"Sun, 20 Jan",New Orleans,W116-112,24-15,Landry  11,Jack  12,2012/2013,Thompson,29
"Mon, 21 Jan",Los Angeles,W106-99,25-15,Lee  11,Jack  10,2012/2013,Curry,28
"Thu, 24 Jan",Oklahoma City,W104-99,26-15,Lee  12,Jack  8,2012/2013,Curry,31
"Sat, 26 Jan",Chicago,L103-87,26-16,Thompson  8,Jack  5,2012/2013,Lee,23
"Sun, 27 Jan",Milwaukee,L109-102,26-17,Lee  15,Jack  10,2012/2013,Curry,26
"Tue, 29 Jan",Toronto,W114-102,27-17,Lee  12,Lee  7,2012/2013,Lee,21
"Wed, 30 Jan",Cleveland,W108-95,28-17,,,2012/2013,,
"Fri, 1 Feb",Dallas,W100-97,29-17,Lee  20,Lee  9,2012/2013,Thompson,27
"Sun, 3 Feb",Phoenix,W113-93,30-17,Lee  12,Curry  8,2012/2013,Curry,29
"Wed, 6 Feb",Houston,L140-109,30-18,Bogut  9,Curry  9,2012/2013,Jack,20
"Thu, 7 Feb",Oklahoma City,L119-98,30-19,Lee  11,Curry  11,2012/2013,Thompson,19
"Sat, 9 Feb",Memphis,L99-93,30-20,Barnes  7,Curry  8,2012/2013,Curry,32
"Sun, 10 Feb",Dallas,L116-91,30-21,Green  9,Curry  4,2012/2013,Curry,18
"Wed, 13 Feb",Houston,L116-107,30-22,Lee  12,Curry  6,2012/2013,Curry,27
"Wed, 20 Feb",Utah,L115-101,30-23,Lee  9,Jack  9,2012/2013,Curry,29
"Thu, 21 Feb",Phoenix,W108-98,31-23,Lee  11,Curry  11,2012/2013,Thompson,28
"Sat, 23 Feb",San Antonio,W107-101 OT,32-23,Lee  22,Jack  10,2012/2013,Jack,30
"Sun, 24 Feb",Minnesota,W100-99,33-23,Lee  13,Jack  8,2012/2013,Jack,23
"Wed, 27 Feb",Indiana,L108-97,33-24,Lee  12,Curry  4,2012/2013,Curry,38
"Thu, 28 Feb",New York,L109-105,33-25,Curry  6,Curry  7,2012/2013,Curry,54
"Sat, 2 Mar",Boston,L94-86,33-26,Lee  19,Curry  6,2012/2013,Curry,25
